stoties_kodas,ilguma,platuma,oro_temp,juntamoji_temp,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis,year,month
joniskio-ams,23.630755,56.246354,18.338690476190475,,,,75.0625,40.7,2024,08
jurbarko-ams,22.773518,55.094064,19.24732142857143,,,,74.77827380952381,27.3,2024,08
kaisiadoriu-ams,24.437842,54.856942,18.866815476190474,,,,80.26636904761905,31.5,2024,08
kalvarijos-ams,23.216806,54.421564,19.510119047619046,,,,72.33779761904762,15.0,2024,08
kauno-ams,23.83588,54.88396,19.48139880952381,19.48482142857143,42.0625,1014.5244047619047,73.20535714285714,40.9,2024,08
kazlu-rudos-ams,23.514815,54.699852,18.69985119047619,,,,78.64732142857143,33.6,2024,08
kelmes-ams,22.934568,55.629044,18.81860119047619,,,,72.84970238095238,53.0,2024,08
klaipedos-ams,21.09157,55.73135,19.292113095238093,19.301934523809525,34.357142857142854,1014.4738095238096,77.58184523809524,39.7,2024,08
kretingos-ams,21.27306,55.894089,18.515029761904763,,,,76.57142857142857,55.0,2024,08
kupiskio-ams,24.909266,55.851591,18.451339285714283,,,,76.55208333333333,24.2,2024,08
kybartu-ams,22.783011,54.633167,19.601339285714285,19.617261904761904,35.579425113464445,1014.6590773809525,73.75595238095238,35.7,2024,08
laukuvos-ams,22.239463,55.60886,17.998809523809523,18.008928571428573,33.16383307573416,1014.5200892857143,79.48660714285714,119.8,2024,08
lazdiju-ams,23.51068,54.23221,19.48229166666667,19.458184523809525,39.747747747747745,1014.769494047619,70.41071428571429,15.1,2024,08
marijampoles-ams,23.35181,54.528855,19.725446428571427,19.718005952380953,,,71.30059523809524,17.6,2024,08
mazeikiu-ams,22.317683,56.353885,18.11931464174455,18.100467289719628,,1014.0841121495328,75.69470404984423,44.0,2024,08
moletu-ams,25.416378,55.235244,18.22276785714286,,,,80.30208333333333,25.6,2024,08
nidos-ams,21.00736,55.30221,20.148511904761904,20.20327380952381,34.223214285714285,1014.5808035714286,79.94494047619048,47.9,2024,08
pagegiu-ams,21.950386,55.140898,19.27529761904762,,,,76.45982142857143,48.1,2024,08
pakruojo-ams,23.902854,56.083488,18.482589285714283,,,,76.66369047619048,45.8,2024,08
panevezio-ams,24.417184,55.735154,18.81160714285714,19.055118110236222,39.18569254185692,1014.2058035714286,74.54803149606299,21.3,2024,08
plunges-ams,21.866687,55.907014,17.99047619047619,,,,76.63839285714286,40.300000000000004,2024,08
prienu-ams,24.0525,54.7291,19.301636904761907,,,,71.91071428571429,31.2,2024,08
raseiniu-ams,23.133073,55.394569,18.819345238095238,18.799404761904764,36.66516516516516,1014.2846726190477,72.29910714285714,17.1,2024,08
rietavo-ams,21.958142,55.718091,18.105505952380952,,,,78.04761904761905,74.0,2024,08
rokiskio-ams,25.59149,55.95498,18.486011904761906,18.477678571428573,,1014.1263392857143,76.5297619047619,9.0,2024,08
sakiu-ams,23.036425,54.94907,19.15892857142857,,,,75.74553571428571,36.5,2024,08
salcininku-ams,25.374422,54.31038,18.442857142857143,,,,80.51785714285714,15.6,2024,08
seduvos-ams,23.74245,55.75466,18.638988095238094,,,,73.0610119047619,38.5,2024,08
siauliu-ams,23.331111,55.942222,18.33675595238095,18.310565476190476,37.92974588938714,1014.3592261904762,75.19642857142857,50.099999999999994,2024,08
silutes-ams,21.446944,55.352222,18.81651785714286,18.856845238095236,35.17818740399385,1014.7217261904761,78.68154761904762,94.5,2024,08
skuodo-ams,21.513962,56.277213,17.60297619047619,,,,79.98809523809524,38.9,2024,08
svencioniu-ams,26.172895,55.132777,18.648809523809526,18.643005952380953,,1014.358630952381,74.26339285714286,16.3,2024,08
taurages-ams,22.27802,55.256786,19.150892857142857,19.148214285714285,,1014.5372023809524,74.97172619047619,46.7,2024,08
telsiu-ams,22.256657,55.991245,18.385119047619046,18.363988095238096,35.099848714069594,1014.000744047619,73.08184523809524,23.3,2024,08
traku-ams,24.785292,54.615924,18.98735119047619,,,,76.13839285714286,29.0,2024,08
ukmerges-ams,24.760335,55.264145,18.820089285714285,18.82544642857143,38.15742128935532,1014.4087797619047,77.05654761904762,15.0,2024,08
utenos-ams,25.589692,55.515321,18.035565476190477,18.066815476190477,45.39170506912443,1014.3200892857143,82.41517857142857,56.099999999999994,2024,08
varenos-ams,24.55176,54.248271,18.833928571428572,18.846130952380953,41.74698795180723,1014.655505952381,77.25297619047619,22.8,2024,08
ventes-ams,21.189682,55.340853,20.173214285714284,20.214136904761904,,,73.68303571428571,72.9,2024,08
vezaiciu-ams,21.4743,55.7205,18.351339285714285,18.35342261904762,,,77.72916666666667,74.2,2024,08
vilniaus-ams,25.107064,54.625992,19.144196428571426,19.151934523809523,43.48802395209581,1014.5592261904762,75.26339285714286,19.2,2024,08
zarasu-ams,26.250977,55.742673,18.128571428571426,,,,81.30059523809524,51.9,2024,08
