,name,year,month,infection,forest cover,population
467,Utenos apskritis,2004,10,11,32.8,178637.0
468,Visagino sav.,2004,10,0,56.0,27915.0
469,Anykščių r. sav.,2004,10,0,30.3,33783.0
470,Ignalinos r. sav.,2004,10,0,35.5,21944.0
471,Molėtų r. sav.,2004,10,0,28.5,24268.0
472,Utenos r. sav.,2004,10,10,31.8,48800.0
473,Zarasų r. sav.,2004,10,1,37.2,21927.0
474,Vilniaus apskritis,2004,10,57,41.9,841748.0
475,Šalčininkų r. sav.,2004,10,0,46.2,38205.0
476,Širvintų r. sav.,2004,10,1,30.5,19677.0
477,Švenčionių r. sav.,2004,10,4,55.8,32002.0
478,Ukmergės r. sav.,2004,10,2,31.3,46920.0
